period,country,sex,age,agecode,prev
2015 to 2017,England,Male,10 to 14,4,0.937793427009675
2015 to 2017,England,Male,15 to 19,5,0.928192021048353
2015 to 2017,England,Male,20 to 24,6,0.913483197965684
2015 to 2017,England,Male,25 to 29,7,0.899487271887012
2015 to 2017,England,Male,30 to 34,8,0.88235126857691
2015 to 2017,England,Male,35 to 39,9,0.860462715955595
2015 to 2017,England,Male,40 to 44,10,0.834630434438801
2015 to 2017,England,Male,45 to 49,11,0.804645476581738
2015 to 2017,England,Male,50 to 54,12,0.769967963215501
2015 to 2017,England,Male,55 to 59,13,0.730897378715714
2015 to 2017,England,Male,60 to 64,14,0.68867370524531
2015 to 2017,England,Male,65 to 69,15,0.64746084278563
2015 to 2017,England,Male,70 to 74,16,0.601594556371995
2015 to 2017,England,Male,75 to 79,17,0.547385097004729
2015 to 2017,England,Male,80 to 84,18,0.487806516883726
2015 to 2017,England,Male,85 to 89,19,0.425616957203913
2015 to 2017,England,Male,90+,20,0.348550176625308
2015 to 2017,England,Female,<1,1,0.939189545963381
2015 to 2017,England,Female,01 to 04,2,0.937067028000725
2015 to 2017,England,Female,05 to 09,3,0.932525424535768
2015 to 2017,England,Female,10 to 14,4,0.924522119840677
2015 to 2017,England,Female,15 to 19,5,0.907205330331783
2015 to 2017,England,Female,20 to 24,6,0.890050116609107
2015 to 2017,England,Female,25 to 29,7,0.877508750031731
2015 to 2017,England,Female,30 to 34,8,0.861056047979743
2015 to 2017,England,Female,35 to 39,9,0.838718424931521
2015 to 2017,England,Female,40 to 44,10,0.813065715046047
2015 to 2017,England,Female,45 to 49,11,0.782923487900979
2015 to 2017,England,Female,50 to 54,12,0.750120244440281
2015 to 2017,England,Female,55 to 59,13,0.715861940192663
2015 to 2017,England,Female,60 to 64,14,0.682657875848085
2015 to 2017,England,Female,65 to 69,15,0.645304552001029
2015 to 2017,England,Female,70 to 74,16,0.598840647908743
2015 to 2017,England,Female,75 to 79,17,0.539707749141616
2015 to 2017,England,Female,80 to 84,18,0.474180115564392
2015 to 2017,England,Female,85 to 89,19,0.409695060658715
2015 to 2017,England,Female,90+,20,0.341604483413534
2016 to 2018,England,Male,<1,1,0.946900292750287
2016 to 2018,England,Male,01 to 04,2,0.945099988838633
2016 to 2018,England,Male,05 to 09,3,0.941178237749352
2016 to 2018,England,Male,10 to 14,4,0.935382203749646
2016 to 2018,England,Male,15 to 19,5,0.925244878762917
2016 to 2018,England,Male,20 to 24,6,0.909755214680312
2016 to 2018,England,Male,25 to 29,7,0.896451932988242
2016 to 2018,England,Male,30 to 34,8,0.88023241001784
2016 to 2018,England,Male,35 to 39,9,0.859115900029676
2016 to 2018,England,Male,40 to 44,10,0.833937103819273
2016 to 2018,England,Male,45 to 49,11,0.804265865628486
2016 to 2018,England,Male,50 to 54,12,0.76998502790293
2016 to 2018,England,Male,55 to 59,13,0.731499051370155
2016 to 2018,England,Male,60 to 64,14,0.689464612668985
2016 to 2018,England,Male,65 to 69,15,0.649549332467035
2016 to 2018,England,Male,70 to 74,16,0.60565899268726
2016 to 2018,England,Male,75 to 79,17,0.551820671167303
