period,country,sex,age,agecode,prev
2011 to 2013,Northern Ireland,Male,15 to 19,5,0.934607364226338
2011 to 2013,Northern Ireland,Male,20 to 24,6,0.917170742528036
2011 to 2013,Northern Ireland,Male,25 to 29,7,0.901803759168066
2011 to 2013,Northern Ireland,Male,30 to 34,8,0.882727828318031
2011 to 2013,Northern Ireland,Male,35 to 39,9,0.851501253704359
2011 to 2013,Northern Ireland,Male,40 to 44,10,0.816818462782062
2011 to 2013,Northern Ireland,Male,45 to 49,11,0.779014891315776
2011 to 2013,Northern Ireland,Male,50 to 54,12,0.728314349545591
2011 to 2013,Northern Ireland,Male,55 to 59,13,0.677411319599525
2011 to 2013,Northern Ireland,Male,60 to 64,14,0.616837416707472
2011 to 2013,Northern Ireland,Male,65 to 69,15,0.575894494877627
2011 to 2013,Northern Ireland,Male,70 to 74,16,0.530298475732876
2011 to 2013,Northern Ireland,Male,75 to 79,17,0.47557144385279
2011 to 2013,Northern Ireland,Male,80 to 84,18,0.414025588977187
2011 to 2013,Northern Ireland,Male,85 to 89,19,0.360119931866237
2011 to 2013,Northern Ireland,Male,90+,20,0.30507686473398
2011 to 2013,Northern Ireland,Female,<1,1,0.959169884200182
2011 to 2013,Northern Ireland,Female,01 to 04,2,0.95732987584369
2011 to 2013,Northern Ireland,Female,05 to 09,3,0.953933363712573
2011 to 2013,Northern Ireland,Female,10 to 14,4,0.947797392050928
2011 to 2013,Northern Ireland,Female,15 to 19,5,0.933437135666667
2011 to 2013,Northern Ireland,Female,20 to 24,6,0.912703567238589
2011 to 2013,Northern Ireland,Female,25 to 29,7,0.896977379997367
2011 to 2013,Northern Ireland,Female,30 to 34,8,0.87522908647535
2011 to 2013,Northern Ireland,Female,35 to 39,9,0.845697062380204
2011 to 2013,Northern Ireland,Female,40 to 44,10,0.809639544176469
2011 to 2013,Northern Ireland,Female,45 to 49,11,0.771431250428268
2011 to 2013,Northern Ireland,Female,50 to 54,12,0.726220671311343
2011 to 2013,Northern Ireland,Female,55 to 59,13,0.67997125373867
2011 to 2013,Northern Ireland,Female,60 to 64,14,0.636308199592684
2011 to 2013,Northern Ireland,Female,65 to 69,15,0.589454813850486
2011 to 2013,Northern Ireland,Female,70 to 74,16,0.532983857832305
2011 to 2013,Northern Ireland,Female,75 to 79,17,0.467132972263471
2011 to 2013,Northern Ireland,Female,80 to 84,18,0.402536719665086
2011 to 2013,Northern Ireland,Female,85 to 89,19,0.33915406589488
2011 to 2013,Northern Ireland,Female,90+,20,0.267265671773359
2012 to 2014,Northern Ireland,Male,<1,1,0.956951061247225
2012 to 2014,Northern Ireland,Male,01 to 04,2,0.951863289731391
2012 to 2014,Northern Ireland,Male,05 to 09,3,0.94639198856387
2012 to 2014,Northern Ireland,Male,10 to 14,4,0.941024342859057
2012 to 2014,Northern Ireland,Male,15 to 19,5,0.932648321269593
2012 to 2014,Northern Ireland,Male,20 to 24,6,0.914979053845617
2012 to 2014,Northern Ireland,Male,25 to 29,7,0.899572925357051
2012 to 2014,Northern Ireland,Male,30 to 34,8,0.880694852403004
2012 to 2014,Northern Ireland,Male,35 to 39,9,0.851925500130352
2012 to 2014,Northern Ireland,Male,40 to 44,10,0.819170694528215
2012 to 2014,Northern Ireland,Male,45 to 49,11,0.782419195415222
2012 to 2014,Northern Ireland,Male,50 to 54,12,0.734799774572286
2012 to 2014,Northern Ireland,Male,55 to 59,13,0.686294496147658
2012 to 2014,Northern Ireland,Male,60 to 64,14,0.629623834667917
2012 to 2014,Northern Ireland,Male,65 to 69,15,0.588938819261099
2012 to 2014,Northern Ireland,Male,70 to 74,16,0.543988450607675
2012 to 2014,Northern Ireland,Male,75 to 79,17,0.490506653033353
2012 to 2014,Northern Ireland,Male,80 to 84,18,0.430239303715083
2012 to 2014,Northern Ireland,Male,85 to 89,19,0.375155769521654
2012 to 2014,Northern Ireland,Male,90+,20,0.314708955801663
2012 to 2014,Northern Ireland,Female,<1,1,0.958792868036892
2012 to 2014,Northern Ireland,Female,01 to 04,2,0.956754267556938
2012 to 2014,Northern Ireland,Female,05 to 09,3,0.952248340445083
2012 to 2014,Northern Ireland,Female,10 to 14,4,0.944894302242212
2012 to 2014,Northern Ireland,Female,15 to 19,5,0.930061392682944
2012 to 2014,Northern Ireland,Female,20 to 24,6,0.909504628066788
2012 to 2014,Northern Ireland,Female,25 to 29,7,0.89271151473231
2012 to 2014,Northern Ireland,Female,30 to 34,8,0.870855542694634
2012 to 2014,Northern Ireland,Female,35 to 39,9,0.842077039439469
2012 to 2014,Northern Ireland,Female,40 to 44,10,0.80756022022439
2012 to 2014,Northern Ireland,Female,45 to 49,11,0.769772875667719
2012 to 2014,Northern Ireland,Female,50 to 54,12,0.726050300492918
2012 to 2014,Northern Ireland,Female,55 to 59,13,0.681117544060713
2012 to 2014,Northern Ireland,Female,60 to 64,14,0.637469415087766
2012 to 2014,Northern Ireland,Female,65 to 69,15,0.591549851657862
2012 to 2014,Northern Ireland,Female,70 to 74,16,0.537135033182861
2012 to 2014,Northern Ireland,Female,75 to 79,17,0.473570702945702
2012 to 2014,Northern Ireland,Female,80 to 84,18,0.410009322438973
2012 to 2014,Northern Ireland,Female,85 to 89,19,0.346352664492821
2012 to 2014,Northern Ireland,Female,90+,20,0.270916992799632
2013 to 2015,Northern Ireland,Male,<1,1,0.953182900588102
2013 to 2015,Northern Ireland,Male,01 to 04,2,0.948828127634951
2013 to 2015,Northern Ireland,Male,05 to 09,3,0.942630500514658
2013 to 2015,Northern Ireland,Male,10 to 14,4,0.936107623180262
2013 to 2015,Northern Ireland,Male,15 to 19,5,0.926460755505949
2013 to 2015,Northern Ireland,Male,20 to 24,6,0.909068376617115
2013 to 2015,Northern Ireland,Male,25 to 29,7,0.893242539942455
2013 to 2015,Northern Ireland,Male,30 to 34,8,0.874238429412194
2013 to 2015,Northern Ireland,Male,35 to 39,9,0.847961835288566
2013 to 2015,Northern Ireland,Male,40 to 44,10,0.817607359290307
2013 to 2015,Northern Ireland,Male,45 to 49,11,0.782951933886856
2013 to 2015,Northern Ireland,Male,50 to 54,12,0.740069467779984
2013 to 2015,Northern Ireland,Male,55 to 59,13,0.695592989475739
2013 to 2015,Northern Ireland,Male,60 to 64,14,0.644815245027943
2013 to 2015,Northern Ireland,Male,65 to 69,15,0.604654745384025
2013 to 2015,Northern Ireland,Male,70 to 74,16,0.560748777058497
2013 to 2015,Northern Ireland,Male,75 to 79,17,0.509678524897538
2013 to 2015,Northern Ireland,Male,80 to 84,18,0.452547457125141
2013 to 2015,Northern Ireland,Male,85 to 89,19,0.397779381150704
2013 to 2015,Northern Ireland,Male,90+,20,0.331927114904558
2013 to 2015,Northern Ireland,Female,<1,1,0.952083113298221
2013 to 2015,Northern Ireland,Female,01 to 04,2,0.949538392928825
2013 to 2015,Northern Ireland,Female,05 to 09,3,0.943588207242019
2013 to 2015,Northern Ireland,Female,10 to 14,4,0.934790033308005
2013 to 2015,Northern Ireland,Female,15 to 19,5,0.918908854378661
2013 to 2015,Northern Ireland,Female,20 to 24,6,0.89773955788246
2013 to 2015,Northern Ireland,Female,25 to 29,7,0.879959099694843
2013 to 2015,Northern Ireland,Female,30 to 34,8,0.857824790131149
2013 to 2015,Northern Ireland,Female,35 to 39,9,0.829285602882203
2013 to 2015,Northern Ireland,Female,40 to 44,10,0.795545733455472
2013 to 2015,Northern Ireland,Female,45 to 49,11,0.757806158252485
2013 to 2015,Northern Ireland,Female,50 to 54,12,0.714865415574806
2013 to 2015,Northern Ireland,Female,55 to 59,13,0.670824246209637
2013 to 2015,Northern Ireland,Female,60 to 64,14,0.627492079647334
2013 to 2015,Northern Ireland,Female,65 to 69,15,0.582744718766286
2013 to 2015,Northern Ireland,Female,70 to 74,16,0.530114766438287
2013 to 2015,Northern Ireland,Female,75 to 79,17,0.468240555203765
2013 to 2015,Northern Ireland,Female,80 to 84,18,0.405749602852036
2013 to 2015,Northern Ireland,Female,85 to 89,19,0.342494744056794
2013 to 2015,Northern Ireland,Female,90+,20,0.266657633579181
2014 to 2016,Northern Ireland,Male,<1,1,0.952408125719147
2014 to 2016,Northern Ireland,Male,01 to 04,2,0.946667650867695
2014 to 2016,Northern Ireland,Male,05 to 09,3,0.938175459053077
2014 to 2016,Northern Ireland,Male,10 to 14,4,0.930532088543542
2014 to 2016,Northern Ireland,Male,15 to 19,5,0.919580474504131
2014 to 2016,Northern Ireland,Male,20 to 24,6,0.899641970847681
2014 to 2016,Northern Ireland,Male,25 to 29,7,0.883129316806967
2014 to 2016,Northern Ireland,Male,30 to 34,8,0.863583397689196
2014 to 2016,Northern Ireland,Male,35 to 39,9,0.836720031981169
2014 to 2016,Northern Ireland,Male,40 to 44,10,0.805095688634885
2014 to 2016,Northern Ireland,Male,45 to 49,11,0.76818019052209
2014 to 2016,Northern Ireland,Male,50 to 54,12,0.722492519019597
2014 to 2016,Northern Ireland,Male,55 to 59,13,0.675339834103968
2014 to 2016,Northern Ireland,Male,60 to 64,14,0.621707917117523
2014 to 2016,Northern Ireland,Male,65 to 69,15,0.581382909652602
2014 to 2016,Northern Ireland,Male,70 to 74,16,0.537347052734737
2014 to 2016,Northern Ireland,Male,75 to 79,17,0.485063557947662
2014 to 2016,Northern Ireland,Male,80 to 84,18,0.425673293163262
2014 to 2016,Northern Ireland,Male,85 to 89,19,0.369076568008901
2014 to 2016,Northern Ireland,Male,90+,20,0.304146027599826
2014 to 2016,Northern Ireland,Female,<1,1,0.949956974152784
2014 to 2016,Northern Ireland,Female,01 to 04,2,0.947513229569506
2014 to 2016,Northern Ireland,Female,05 to 09,3,0.941180254900187
2014 to 2016,Northern Ireland,Female,10 to 14,4,0.931782609979042
2014 to 2016,Northern Ireland,Female,15 to 19,5,0.91628859318105
2014 to 2016,Northern Ireland,Female,20 to 24,6,0.896135109066728
2014 to 2016,Northern Ireland,Female,25 to 29,7,0.877616618418491
2014 to 2016,Northern Ireland,Female,30 to 34,8,0.855350668454821
2014 to 2016,Northern Ireland,Female,35 to 39,9,0.827600569850033
2014 to 2016,Northern Ireland,Female,40 to 44,10,0.795325947745464
2014 to 2016,Northern Ireland,Female,45 to 49,11,0.75864777719044
2014 to 2016,Northern Ireland,Female,50 to 54,12,0.717572335394443
2014 to 2016,Northern Ireland,Female,55 to 59,13,0.674917641605281
2014 to 2016,Northern Ireland,Female,60 to 64,14,0.631660786808119
2014 to 2016,Northern Ireland,Female,65 to 69,15,0.587062278153257
2014 to 2016,Northern Ireland,Female,70 to 74,16,0.535879694623551
2014 to 2016,Northern Ireland,Female,75 to 79,17,0.476582947970232
2014 to 2016,Northern Ireland,Female,80 to 84,18,0.415613213183112
2014 to 2016,Northern Ireland,Female,85 to 89,19,0.352823002095267
2014 to 2016,Northern Ireland,Female,90+,20,0.272969926233496
2015 to 2017,Northern Ireland,Male,<1,1,0.954981969444107
2015 to 2017,Northern Ireland,Male,01 to 04,2,0.950835226174704
2015 to 2017,Northern Ireland,Male,05 to 09,3,0.943145066468044
2015 to 2017,Northern Ireland,Male,10 to 14,4,0.934869446212056
2015 to 2017,Northern Ireland,Male,15 to 19,5,0.923327561791013
2015 to 2017,Northern Ireland,Male,20 to 24,6,0.905190834119962
2015 to 2017,Northern Ireland,Male,25 to 29,7,0.88828735703483
2015 to 2017,Northern Ireland,Male,30 to 34,8,0.868473203899071
2015 to 2017,Northern Ireland,Male,35 to 39,9,0.843661933465544
2015 to 2017,Northern Ireland,Male,40 to 44,10,0.814573184984675
2015 to 2017,Northern Ireland,Male,45 to 49,11,0.780750484619514
2015 to 2017,Northern Ireland,Male,50 to 54,12,0.740917616568308
2015 to 2017,Northern Ireland,Male,55 to 59,13,0.698878017029746
2015 to 2017,Northern Ireland,Male,60 to 64,14,0.652130548219434
2015 to 2017,Northern Ireland,Male,65 to 69,15,0.611702710272743
2015 to 2017,Northern Ireland,Male,70 to 74,16,0.567978035289319
2015 to 2017,Northern Ireland,Male,75 to 79,17,0.518106101648537
2015 to 2017,Northern Ireland,Male,80 to 84,18,0.462633302900233
2015 to 2017,Northern Ireland,Male,85 to 89,19,0.407106533572569
2015 to 2017,Northern Ireland,Male,90+,20,0.335589971627168
2015 to 2017,Northern Ireland,Female,<1,1,0.956253977696509
2015 to 2017,Northern Ireland,Female,01 to 04,2,0.953481514229531
2015 to 2017,Northern Ireland,Female,05 to 09,3,0.94612223856737
2015 to 2017,Northern Ireland,Female,10 to 14,4,0.935561505354947
2015 to 2017,Northern Ireland,Female,15 to 19,5,0.919458060034596
2015 to 2017,Northern Ireland,Female,20 to 24,6,0.89908077869135
2015 to 2017,Northern Ireland,Female,25 to 29,7,0.879520078366168
2015 to 2017,Northern Ireland,Female,30 to 34,8,0.856608686758344
2015 to 2017,Northern Ireland,Female,35 to 39,9,0.828744994843491
2015 to 2017,Northern Ireland,Female,40 to 44,10,0.796773253739722
2015 to 2017,Northern Ireland,Female,45 to 49,11,0.760196948940034
2015 to 2017,Northern Ireland,Female,50 to 54,12,0.719716595123658
2015 to 2017,Northern Ireland,Female,55 to 59,13,0.677486983208204
2015 to 2017,Northern Ireland,Female,60 to 64,14,0.634032505245977
2015 to 2017,Northern Ireland,Female,65 to 69,15,0.58939003900371
2015 to 2017,Northern Ireland,Female,70 to 74,16,0.538883597453506
2015 to 2017,Northern Ireland,Female,75 to 79,17,0.48084615823046
2015 to 2017,Northern Ireland,Female,80 to 84,18,0.420631428230095
2015 to 2017,Northern Ireland,Female,85 to 89,19,0.358087864122904
2015 to 2017,Northern Ireland,Female,90+,20,0.276355914993667
2016 to 2018,Northern Ireland,Male,<1,1,0.958786671146633
2016 to 2018,Northern Ireland,Male,01 to 04,2,0.954010021618718
2016 to 2018,Northern Ireland,Male,05 to 09,3,0.945443458819972
2016 to 2018,Northern Ireland,Male,10 to 14,4,0.937374232582751
2016 to 2018,Northern Ireland,Male,15 to 19,5,0.925709035737902
2016 to 2018,Northern Ireland,Male,20 to 24,6,0.906227470883394
2016 to 2018,Northern Ireland,Male,25 to 29,7,0.889535015657941
2016 to 2018,Northern Ireland,Male,30 to 34,8,0.86993682432607
2016 to 2018,Northern Ireland,Male,35 to 39,9,0.845310451500993
2016 to 2018,Northern Ireland,Male,40 to 44,10,0.815609343473767
2016 to 2018,Northern Ireland,Male,45 to 49,11,0.780075315384511
2016 to 2018,Northern Ireland,Male,50 to 54,12,0.738031189554734
2016 to 2018,Northern Ireland,Male,55 to 59,13,0.693708782137651
2016 to 2018,Northern Ireland,Male,60 to 64,14,0.644476120325476
2016 to 2018,Northern Ireland,Male,65 to 69,15,0.603613078507812
2016 to 2018,Northern Ireland,Male,70 to 74,16,0.55936823297927
2016 to 2018,Northern Ireland,Male,75 to 79,17,0.507892091167793
2016 to 2018,Northern Ireland,Male,80 to 84,18,0.449726809970817
2016 to 2018,Northern Ireland,Male,85 to 89,19,0.391589937691846
2016 to 2018,Northern Ireland,Male,90+,20,0.319083010946214
2016 to 2018,Northern Ireland,Female,<1,1,0.961385691655096
2016 to 2018,Northern Ireland,Female,01 to 04,2,0.958269574744803
2016 to 2018,Northern Ireland,Female,05 to 09,3,0.950214383363537
2016 to 2018,Northern Ireland,Female,10 to 14,4,0.93914164870914
2016 to 2018,Northern Ireland,Female,15 to 19,5,0.921604719139978
2016 to 2018,Northern Ireland,Female,20 to 24,6,0.899451374043751
2016 to 2018,Northern Ireland,Female,25 to 29,7,0.879529540328841
2016 to 2018,Northern Ireland,Female,30 to 34,8,0.856477784371511
2016 to 2018,Northern Ireland,Female,35 to 39,9,0.827881701365971
2016 to 2018,Northern Ireland,Female,40 to 44,10,0.794966906238069
2016 to 2018,Northern Ireland,Female,45 to 49,11,0.756282057099795
2016 to 2018,Northern Ireland,Female,50 to 54,12,0.713686173289932
2016 to 2018,Northern Ireland,Female,55 to 59,13,0.669914325952985
2016 to 2018,Northern Ireland,Female,60 to 64,14,0.625321617994042
2016 to 2018,Northern Ireland,Female,65 to 69,15,0.580794531925147
2016 to 2018,Northern Ireland,Female,70 to 74,16,0.529467485312566
2016 to 2018,Northern Ireland,Female,75 to 79,17,0.468531628245632
2016 to 2018,Northern Ireland,Female,80 to 84,18,0.405379728300519
2016 to 2018,Northern Ireland,Female,85 to 89,19,0.339765389087872
2016 to 2018,Northern Ireland,Female,90+,20,0.257868858464129
2017 to 2019,Northern Ireland,Male,<1,1,0.958780118343051
2017 to 2019,Northern Ireland,Male,01 to 04,2,0.953217270772199
2017 to 2019,Northern Ireland,Male,05 to 09,3,0.942996442750989
2017 to 2019,Northern Ireland,Male,10 to 14,4,0.934062418850747
2017 to 2019,Northern Ireland,Male,15 to 19,5,0.921323679213707
2017 to 2019,Northern Ireland,Male,20 to 24,6,0.900095436448797
2017 to 2019,Northern Ireland,Male,25 to 29,7,0.882883491510074
2017 to 2019,Northern Ireland,Male,30 to 34,8,0.862891162994972
2017 to 2019,Northern Ireland,Male,35 to 39,9,0.838326492308524
2017 to 2019,Northern Ireland,Male,40 to 44,10,0.808103587148463
2017 to 2019,Northern Ireland,Male,45 to 49,11,0.771187356450245
2017 to 2019,Northern Ireland,Male,50 to 54,12,0.727840878750927
2017 to 2019,Northern Ireland,Male,55 to 59,13,0.682124626776635
2017 to 2019,Northern Ireland,Male,60 to 64,14,0.631698603231592
2017 to 2019,Northern Ireland,Male,65 to 69,15,0.590546659896012
2017 to 2019,Northern Ireland,Male,70 to 74,16,0.546100501226519
2017 to 2019,Northern Ireland,Male,75 to 79,17,0.493833233893712
2017 to 2019,Northern Ireland,Male,80 to 84,18,0.434184226748824
2017 to 2019,Northern Ireland,Male,85 to 89,19,0.37426993396493
2017 to 2019,Northern Ireland,Male,90+,20,0.300653352238049
2017 to 2019,Northern Ireland,Female,<1,1,0.95944996842146
2017 to 2019,Northern Ireland,Female,01 to 04,2,0.956508887450498
2017 to 2019,Northern Ireland,Female,05 to 09,3,0.948608714206964
2017 to 2019,Northern Ireland,Female,10 to 14,4,0.937653499176364
2017 to 2019,Northern Ireland,Female,15 to 19,5,0.920436272579243
2017 to 2019,Northern Ireland,Female,20 to 24,6,0.898758606688471
2017 to 2019,Northern Ireland,Female,25 to 29,7,0.87883320262227
2017 to 2019,Northern Ireland,Female,30 to 34,8,0.85601345764981
2017 to 2019,Northern Ireland,Female,35 to 39,9,0.82787792085186
2017 to 2019,Northern Ireland,Female,40 to 44,10,0.795618427850136
2017 to 2019,Northern Ireland,Female,45 to 49,11,0.757221747358521
2017 to 2019,Northern Ireland,Female,50 to 54,12,0.715189438245923
2017 to 2019,Northern Ireland,Female,55 to 59,13,0.671857334810775
2017 to 2019,Northern Ireland,Female,60 to 64,14,0.627236114439589
2017 to 2019,Northern Ireland,Female,65 to 69,15,0.582874087079624
2017 to 2019,Northern Ireland,Female,70 to 74,16,0.532031152109412
2017 to 2019,Northern Ireland,Female,75 to 79,17,0.471655542185751
2017 to 2019,Northern Ireland,Female,80 to 84,18,0.408623762686403
2017 to 2019,Northern Ireland,Female,85 to 89,19,0.342674458897561
2017 to 2019,Northern Ireland,Female,90+,20,0.259121663441072
2018 to 2020,Northern Ireland,Male,<1,1,0.964526033043542
2018 to 2020,Northern Ireland,Male,01 to 04,2,0.959202568126087
2018 to 2020,Northern Ireland,Male,05 to 09,3,0.948846083262085
2018 to 2020,Northern Ireland,Male,10 to 14,4,0.939683445092207
2018 to 2020,Northern Ireland,Male,15 to 19,5,0.926610478212615
2018 to 2020,Northern Ireland,Male,20 to 24,6,0.905361871638004
2018 to 2020,Northern Ireland,Male,25 to 29,7,0.887972598947757
2018 to 2020,Northern Ireland,Male,30 to 34,8,0.867834045735411
2018 to 2020,Northern Ireland,Male,35 to 39,9,0.843813814574214
2018 to 2020,Northern Ireland,Male,40 to 44,10,0.814008067346858
2018 to 2020,Northern Ireland,Male,45 to 49,11,0.77730318527068
2018 to 2020,Northern Ireland,Male,50 to 54,12,0.734836659047762
2018 to 2020,Northern Ireland,Male,55 to 59,13,0.689741714521482
2018 to 2020,Northern Ireland,Male,60 to 64,14,0.640402520880196
2018 to 2020,Northern Ireland,Male,65 to 69,15,0.598880707584055
2018 to 2020,Northern Ireland,Male,70 to 74,16,0.554154727594709
2018 to 2020,Northern Ireland,Male,75 to 79,17,0.5018784182875
2018 to 2020,Northern Ireland,Male,80 to 84,18,0.442308060762847
2018 to 2020,Northern Ireland,Male,85 to 89,19,0.381621807756898
2018 to 2020,Northern Ireland,Male,90+,20,0.305332766080034
2018 to 2020,Northern Ireland,Female,<1,1,0.950076577931674
2018 to 2020,Northern Ireland,Female,01 to 04,2,0.947206694642549
2018 to 2020,Northern Ireland,Female,05 to 09,3,0.939381776956589
2018 to 2020,Northern Ireland,Female,10 to 14,4,0.928623326368935
2018 to 2020,Northern Ireland,Female,15 to 19,5,0.912366871859573
2018 to 2020,Northern Ireland,Female,20 to 24,6,0.89217303776538
2018 to 2020,Northern Ireland,Female,25 to 29,7,0.873080407132411
2018 to 2020,Northern Ireland,Female,30 to 34,8,0.851493422104702
2018 to 2020,Northern Ireland,Female,35 to 39,9,0.825264610848113
2018 to 2020,Northern Ireland,Female,40 to 44,10,0.795424093437563
2018 to 2020,Northern Ireland,Female,45 to 49,11,0.759785411765097
2018 to 2020,Northern Ireland,Female,50 to 54,12,0.721025240033253
2018 to 2020,Northern Ireland,Female,55 to 59,13,0.680922283579978
2018 to 2020,Northern Ireland,Female,60 to 64,14,0.639237584911167
2018 to 2020,Northern Ireland,Female,65 to 69,15,0.597818337464853
2018 to 2020,Northern Ireland,Female,70 to 74,16,0.550791704725522
2018 to 2020,Northern Ireland,Female,75 to 79,17,0.495282425841533
2018 to 2020,Northern Ireland,Female,80 to 84,18,0.43700218595554
2018 to 2020,Northern Ireland,Female,85 to 89,19,0.375708962109389
2018 to 2020,Northern Ireland,Female,90+,20,0.296633110454878
2019 to 2021,Northern Ireland,Male,<1,1,0.944530980878725
2019 to 2021,Northern Ireland,Male,01 to 04,2,0.941263652485677
2019 to 2021,Northern Ireland,Male,05 to 09,3,0.933371894724124
2019 to 2021,Northern Ireland,Male,10 to 14,4,0.923943222236997
2019 to 2021,Northern Ireland,Male,15 to 19,5,0.911244936422637
2019 to 2021,Northern Ireland,Male,20 to 24,6,0.89369785965133
2019 to 2021,Northern Ireland,Male,25 to 29,7,0.875991400396103
2019 to 2021,Northern Ireland,Male,30 to 34,8,0.855527424839208
2019 to 2021,Northern Ireland,Male,35 to 39,9,0.832066349839261
2019 to 2021,Northern Ireland,Male,40 to 44,10,0.804573851629426
2019 to 2021,Northern Ireland,Male,45 to 49,11,0.772575993561866
2019 to 2021,Northern Ireland,Male,50 to 54,12,0.736817174100303
2019 to 2021,Northern Ireland,Male,55 to 59,13,0.698254516158243
2019 to 2021,Northern Ireland,Male,60 to 64,14,0.656475043466803
2019 to 2021,Northern Ireland,Male,65 to 69,15,0.615703192652583
2019 to 2021,Northern Ireland,Male,70 to 74,16,0.572010066828221
2019 to 2021,Northern Ireland,Male,75 to 79,17,0.523705698164771
2019 to 2021,Northern Ireland,Male,80 to 84,18,0.470833224601644
2019 to 2021,Northern Ireland,Male,85 to 89,19,0.415571639649259
2019 to 2021,Northern Ireland,Male,90+,20,0.338383014467743
2019 to 2021,Northern Ireland,Female,<1,1,0.941058467525534
2019 to 2021,Northern Ireland,Female,01 to 04,2,0.93809483956308
2019 to 2021,Northern Ireland,Female,05 to 09,3,0.930179955084542
2019 to 2021,Northern Ireland,Female,10 to 14,4,0.919929145668263
2019 to 2021,Northern Ireland,Female,15 to 19,5,0.903094343540623
2019 to 2021,Northern Ireland,Female,20 to 24,6,0.882118317753725
2019 to 2021,Northern Ireland,Female,25 to 29,7,0.864423639165298
2019 to 2021,Northern Ireland,Female,30 to 34,8,0.844963235598071
2019 to 2021,Northern Ireland,Female,35 to 39,9,0.820308337546344
2019 to 2021,Northern Ireland,Female,40 to 44,10,0.792068210448135
2019 to 2021,Northern Ireland,Female,45 to 49,11,0.756222191215355
2019 to 2021,Northern Ireland,Female,50 to 54,12,0.717649117953308
2019 to 2021,Northern Ireland,Female,55 to 59,13,0.678802201225242
2019 to 2021,Northern Ireland,Female,60 to 64,14,0.638971797385512
2019 to 2021,Northern Ireland,Female,65 to 69,15,0.601733365603948
2019 to 2021,Northern Ireland,Female,70 to 74,16,0.557848227452539
2019 to 2021,Northern Ireland,Female,75 to 79,17,0.502502654684642
2019 to 2021,Northern Ireland,Female,80 to 84,18,0.44430540784213
2019 to 2021,Northern Ireland,Female,85 to 89,19,0.382856535908058
2019 to 2021,Northern Ireland,Female,90+,20,0.30975965216063
2020 to 2022,Northern Ireland,Male,<1,1,0.943477990506983
2020 to 2022,Northern Ireland,Male,01 to 04,2,0.940457981793627
2020 to 2022,Northern Ireland,Male,05 to 09,3,0.932853864618024
2020 to 2022,Northern Ireland,Male,10 to 14,4,0.923450250878059
2020 to 2022,Northern Ireland,Male,15 to 19,5,0.910765616245183
2020 to 2022,Northern Ireland,Male,20 to 24,6,0.893475431896779
2020 to 2022,Northern Ireland,Male,25 to 29,7,0.87564056087406
2020 to 2022,Northern Ireland,Male,30 to 34,8,0.854999119121604
2020 to 2022,Northern Ireland,Male,35 to 39,9,0.831448327027658
2020 to 2022,Northern Ireland,Male,40 to 44,10,0.803940643569975
2020 to 2022,Northern Ireland,Male,45 to 49,11,0.772044881026932
2020 to 2022,Northern Ireland,Male,50 to 54,12,0.736562022011564
2020 to 2022,Northern Ireland,Male,55 to 59,13,0.698183980864597
2020 to 2022,Northern Ireland,Male,60 to 64,14,0.656665600550083
2020 to 2022,Northern Ireland,Male,65 to 69,15,0.615418306822632
2020 to 2022,Northern Ireland,Male,70 to 74,16,0.571229634999286
2020 to 2022,Northern Ireland,Male,75 to 79,17,0.522637953297473
2020 to 2022,Northern Ireland,Male,80 to 84,18,0.469651169959264
2020 to 2022,Northern Ireland,Male,85 to 89,19,0.414037684881625
2020 to 2022,Northern Ireland,Male,90+,20,0.335437988789269
2020 to 2022,Northern Ireland,Female,<1,1,0.93945684823803
2020 to 2022,Northern Ireland,Female,01 to 04,2,0.93602337108036
2020 to 2022,Northern Ireland,Female,05 to 09,3,0.927012753703387
2020 to 2022,Northern Ireland,Female,10 to 14,4,0.915831755012864
2020 to 2022,Northern Ireland,Female,15 to 19,5,0.897427561399524
2020 to 2022,Northern Ireland,Female,20 to 24,6,0.874751840920171
2020 to 2022,Northern Ireland,Female,25 to 29,7,0.856440231469399
2020 to 2022,Northern Ireland,Female,30 to 34,8,0.836811357416497
2020 to 2022,Northern Ireland,Female,35 to 39,9,0.811673709659705
2020 to 2022,Northern Ireland,Female,40 to 44,10,0.78296956127017
2020 to 2022,Northern Ireland,Female,45 to 49,11,0.745410967099217
2020 to 2022,Northern Ireland,Female,50 to 54,12,0.705388081814499
2020 to 2022,Northern Ireland,Female,55 to 59,13,0.665627553738358
2020 to 2022,Northern Ireland,Female,60 to 64,14,0.625030884653408
2020 to 2022,Northern Ireland,Female,65 to 69,15,0.588409704498593
2020 to 2022,Northern Ireland,Female,70 to 74,16,0.54456746472372
2020 to 2022,Northern Ireland,Female,75 to 79,17,0.487462664304527
2020 to 2022,Northern Ireland,Female,80 to 84,18,0.427259483680923
2020 to 2022,Northern Ireland,Female,85 to 89,19,0.363459480543169
2020 to 2022,Northern Ireland,Female,90+,20,0.29027273851785
2021 to 2023,Northern Ireland,Male,<1,1,0.946291748905347
2021 to 2023,Northern Ireland,Male,01 to 04,2,0.942409999294366
2021 to 2023,Northern Ireland,Male,05 to 09,3,0.933325689832786
2021 to 2023,Northern Ireland,Male,10 to 14,4,0.923346129638202
2021 to 2023,Northern Ireland,Male,15 to 19,5,0.909917580792048
2021 to 2023,Northern Ireland,Male,20 to 24,6,0.891014311132546
