country,sex,age,agecode,pi_2014,pi_2024,Lx_2014,Lx_2024,d_prev,d_mort,d_total
England,Female,15 to 19,5,0.91778988702663,0.862578100767296,3.3741953355241745,3.857893172240893,-0.19964826244965528,0.43058007212780947,0.2309318096781542
England,Female,20 to 24,6,0.903196850211953,0.840816014013519,6.236708494279588,7.343678501436021,-0.42357794834553886,0.9652849663962911,0.5417070180507523
England,Female,25 to 29,7,0.887144580739154,0.829851285275424,2.897734615778995,3.2603354104368685,-0.17640806274916274,0.3112920327205847,0.13488396997142196
England,Female,30 to 34,8,0.867558416375897,0.814148521199087,5.489974456278815,5.985337138654273,-0.3064475947033046,0.4165274297832809,0.11007983507997626
England,Female,35 to 39,9,0.843558717407411,0.793041335275319,5.036152251149822,2.829438520126005,-0.1986745273435986,-1.805753904224641,-2.0044284315682397
England,Female,40 to 44,10,0.816075616733676,0.768976795579972,4.697381315839056,5.447600671780777,-0.23890834612122755,0.5945684999499081,0.35566015382868055
England,Female,45 to 49,11,0.784973799852011,0.73871058684649,6.326197275117012,5.0910301749055495,-0.26409881272643726,-0.9410024127779344,-1.2051012255043716
England,Female,50 to 54,12,0.750202783788577,0.709209985016578,3.840104956043278,4.707058056124764,-0.17518606671463877,0.6326212121070673,0.4574351453924286
England,Female,55 to 59,13,0.712212417758664,0.681525295088455,5.3336957405088,4.266314855750099,-0.14729835140135103,-0.743824496530163,-0.8911228479315141
England,Female,60 to 64,14,0.673179408522653,0.648739057231181,4.603626663942043,5.543795722847853,-0.12400328391804635,0.6214134199489971,0.49741013603095074
England,Female,65 to 69,15,0.628967411860579,0.622426473070025,4.080611432070263,4.13353274814468,-0.026864107149785914,0.03311270565900247,0.006248598509216555
England,Female,70 to 74,16,0.578893441714478,0.589699127823435,4.599703037866729,4.040905025043246,0.046683849259164294,-0.3265036028290369,-0.2798197535698726
England,Female,75 to 79,17,0.523321786946501,0.535046149350751,3.6081626041914383,3.2218081780678767,0.04003852633082357,-0.20445256832785152,-0.16441404199702797
England,Female,80 to 84,18,0.464295589248415,0.466113299268086,2.805612986158875,3.227710161937259,0.005483415969103539,0.1963614820809601,0.20184489805006364
England,Female,85 to 89,19,0.404106778375659,0.392917051572496,2.263973445845768,1.727202356824383,-0.022330083427636878,-0.2139096745886331,-0.23623975801626998
England,Female,90+,20,0.322160315859933,0.325675599527085,1.544336811316771,1.895146968524164,0.006045380577354594,0.11363370966075756,0.11967909023811216
Northern Ireland,Male,<1,1,0.956951061247225,0.94075368382839,1.4210854715202004e-14,1.4210854715202004e-14,-2.3017857726635753e-16,0.0,-2.3017857726635753e-16
Northern Ireland,Male,01 to 04,2,0.951863289731391,0.937467471425917,4.300215195746028,4.44932461856833,-0.06297839271169003,0.14085850965829314,0.0778801169466031
Northern Ireland,Male,05 to 09,3,0.94639198856387,0.929180027695402,7.526265562034014,4.158483247314647,-0.10055871963219355,-3.1582591331702607,-3.2588178528024545
