period,country,sex,agecode,age,pi,LE,HLE,u,rho,lx,Lx
2012 to 2014,Scotland,Female,4,10 to 14,0.927016635467109,71.86666666666666,53.9,3.8427954009100773,1.0210479662608491,0.9442738487299055,3.628651203098939
2012 to 2014,Scotland,Female,5,15 to 19,0.913287193943021,66.62162162162163,49.3,3.6348214072354423,1.0286434934340474,0.9641488928389748,3.504509035453456
2012 to 2014,Scotland,Female,6,20 to 24,0.897538658460536,61.23287671232877,44.7,6.530160470910467,0.9637451248488089,0.991765485320452,6.47638776865295
2012 to 2014,Scotland,Female,7,25 to 29,0.88019668740208,56.76056338028168,40.3,3.149922687181821,1.0424291245880528,0.9558091514708985,3.0107249308341886
2012 to 2014,Scotland,Female,8,30 to 34,0.860124789876257,51.42857142857143,36.0,5.710326875484725,0.9776228394999673,0.9963632970410583,5.689560112840125
2012 to 2014,Scotland,Female,9,35 to 39,0.836565493287073,46.76470588235294,31.8,5.297151217006984,0.9880355985244885,0.9740675156268288,5.159782925849626
2012 to 2014,Scotland,Female,10,40 to 44,0.810077295737013,41.96969696969697,27.7,4.935367391376424,0.9917142648587929,0.9624133808056153,4.749863616652375
2012 to 2014,Scotland,Female,11,45 to 49,0.780714972455531,37.34375,23.9,4.647202364463283,1.0035574026748895,0.9544390784359063,4.4354715420435005
2012 to 2014,Scotland,Female,12,50 to 54,0.747611417237459,32.58064516129032,20.2,4.414380102980601,1.0059380377967757,0.9578344025665532,4.228245128640104
2012 to 2014,Scotland,Female,13,55 to 59,0.712112219305587,28.0,16.8,5.910821772431351,0.9257964404201566,0.9635220594520454,5.695207167227045
