period,country,sex,age,agecode,hle,prop
2022 to 2024,Northern Ireland,Female,25 to 29,7,38.7,67
2022 to 2024,Northern Ireland,Female,30 to 34,8,34.5,65
2022 to 2024,Northern Ireland,Female,35 to 39,9,30.5,63
2022 to 2024,Northern Ireland,Female,40 to 44,10,26.6,61
2022 to 2024,Northern Ireland,Female,45 to 49,11,22.8,59
2022 to 2024,Northern Ireland,Female,50 to 54,12,19.3,57
2022 to 2024,Northern Ireland,Female,55 to 59,13,16,54
2022 to 2024,Northern Ireland,Female,60 to 64,14,13,52
2022 to 2024,Northern Ireland,Female,65 to 69,15,10.3,49
2022 to 2024,Northern Ireland,Female,70 to 74,16,7.8,46
2022 to 2024,Northern Ireland,Female,75 to 79,17,5.6,43
2022 to 2024,Northern Ireland,Female,80 to 84,18,3.8,39
2022 to 2024,Northern Ireland,Female,85 to 89,19,2.4,35
2022 to 2024,Northern Ireland,Female,90+,20,1.4,31
2011 to 2013,Scotland,Male,<1,1,61.2,80
2011 to 2013,Scotland,Male,01 to 04,2,60.5,79
2011 to 2013,Scotland,Male,05 to 09,3,56.7,79
2011 to 2013,Scotland,Male,10 to 14,4,52,77
2011 to 2013,Scotland,Male,15 to 19,5,47.3,76
2011 to 2013,Scotland,Male,20 to 24,6,42.7,74
2011 to 2013,Scotland,Male,25 to 29,7,38.3,73
2011 to 2013,Scotland,Male,30 to 34,8,33.9,71
2011 to 2013,Scotland,Male,35 to 39,9,29.8,69
2011 to 2013,Scotland,Male,40 to 44,10,25.8,67
2011 to 2013,Scotland,Male,45 to 49,11,21.9,64
2011 to 2013,Scotland,Male,50 to 54,12,18.2,62
2011 to 2013,Scotland,Male,55 to 59,13,14.8,59
2011 to 2013,Scotland,Male,60 to 64,14,11.7,56
2011 to 2013,Scotland,Male,65 to 69,15,9.1,53
2011 to 2013,Scotland,Male,70 to 74,16,6.7,49
2011 to 2013,Scotland,Male,75 to 79,17,4.8,45
2011 to 2013,Scotland,Male,80 to 84,18,3.2,41
2011 to 2013,Scotland,Male,85 to 89,19,2.1,37
2011 to 2013,Scotland,Male,90+,20,1.5,35
2011 to 2013,Scotland,Female,<1,1,63,78
2011 to 2013,Scotland,Female,01 to 04,2,62.3,78
2011 to 2013,Scotland,Female,05 to 09,3,58.5,77
2011 to 2013,Scotland,Female,10 to 14,4,53.9,76
2011 to 2013,Scotland,Female,15 to 19,5,49.3,74
2011 to 2013,Scotland,Female,20 to 24,6,44.8,73
2011 to 2013,Scotland,Female,25 to 29,7,40.3,72
2011 to 2013,Scotland,Female,30 to 34,8,36,70
2011 to 2013,Scotland,Female,35 to 39,9,31.8,68
2011 to 2013,Scotland,Female,40 to 44,10,27.8,66
2011 to 2013,Scotland,Female,45 to 49,11,23.9,64
2011 to 2013,Scotland,Female,50 to 54,12,20.2,62
2011 to 2013,Scotland,Female,55 to 59,13,16.8,60
2011 to 2013,Scotland,Female,60 to 64,14,13.6,57
2011 to 2013,Scotland,Female,65 to 69,15,10.7,55
2011 to 2013,Scotland,Female,70 to 74,16,8.1,52
2011 to 2013,Scotland,Female,75 to 79,17,5.8,48
2011 to 2013,Scotland,Female,80 to 84,18,4,45
2011 to 2013,Scotland,Female,85 to 89,19,2.6,41
2011 to 2013,Scotland,Female,90+,20,1.6,36
2012 to 2014,Scotland,Male,<1,1,61.6,80
2012 to 2014,Scotland,Male,01 to 04,2,60.9,80
2012 to 2014,Scotland,Male,05 to 09,3,57.1,79
2012 to 2014,Scotland,Male,10 to 14,4,52.4,78
2012 to 2014,Scotland,Male,15 to 19,5,47.7,76
2012 to 2014,Scotland,Male,20 to 24,6,43.1,75
2012 to 2014,Scotland,Male,25 to 29,7,38.7,73
2012 to 2014,Scotland,Male,30 to 34,8,34.4,72
2012 to 2014,Scotland,Male,35 to 39,9,30.2,70
2012 to 2014,Scotland,Male,40 to 44,10,26.2,68
2012 to 2014,Scotland,Male,45 to 49,11,22.3,65
2012 to 2014,Scotland,Male,50 to 54,12,18.6,63
2012 to 2014,Scotland,Male,55 to 59,13,15.2,60
2012 to 2014,Scotland,Male,60 to 64,14,12.1,57
2012 to 2014,Scotland,Male,65 to 69,15,9.4,54
2012 to 2014,Scotland,Male,70 to 74,16,7,51
2012 to 2014,Scotland,Male,75 to 79,17,5,47
2012 to 2014,Scotland,Male,80 to 84,18,3.4,43
2012 to 2014,Scotland,Male,85 to 89,19,2.2,39
2012 to 2014,Scotland,Male,90+,20,1.5,36
2012 to 2014,Scotland,Female,<1,1,63,78
2012 to 2014,Scotland,Female,01 to 04,2,62.3,78
2012 to 2014,Scotland,Female,05 to 09,3,58.5,77
2012 to 2014,Scotland,Female,10 to 14,4,53.9,75
2012 to 2014,Scotland,Female,15 to 19,5,49.3,74
2012 to 2014,Scotland,Female,20 to 24,6,44.7,73
2012 to 2014,Scotland,Female,25 to 29,7,40.3,71
2012 to 2014,Scotland,Female,30 to 34,8,36,70
2012 to 2014,Scotland,Female,35 to 39,9,31.8,68
2012 to 2014,Scotland,Female,40 to 44,10,27.7,66
2012 to 2014,Scotland,Female,45 to 49,11,23.9,64
2012 to 2014,Scotland,Female,50 to 54,12,20.2,62
2012 to 2014,Scotland,Female,55 to 59,13,16.8,60
2012 to 2014,Scotland,Female,60 to 64,14,13.6,57
2012 to 2014,Scotland,Female,65 to 69,15,10.7,54
2012 to 2014,Scotland,Female,70 to 74,16,8,51
2012 to 2014,Scotland,Female,75 to 79,17,5.8,48
2012 to 2014,Scotland,Female,80 to 84,18,4,44
2012 to 2014,Scotland,Female,85 to 89,19,2.6,40
2012 to 2014,Scotland,Female,90+,20,1.6,36
2013 to 2015,Scotland,Male,<1,1,61.9,80
2013 to 2015,Scotland,Male,01 to 04,2,61.2,80
2013 to 2015,Scotland,Male,05 to 09,3,57.4,79
2013 to 2015,Scotland,Male,10 to 14,4,52.7,78
2013 to 2015,Scotland,Male,15 to 19,5,48.1,77
2013 to 2015,Scotland,Male,20 to 24,6,43.5,75
2013 to 2015,Scotland,Male,25 to 29,7,39,74
2013 to 2015,Scotland,Male,30 to 34,8,34.7,72
2013 to 2015,Scotland,Male,35 to 39,9,30.5,70
2013 to 2015,Scotland,Male,40 to 44,10,26.5,68
2013 to 2015,Scotland,Male,45 to 49,11,22.7,66
2013 to 2015,Scotland,Male,50 to 54,12,19,64
2013 to 2015,Scotland,Male,55 to 59,13,15.5,61
2013 to 2015,Scotland,Male,60 to 64,14,12.4,58
2013 to 2015,Scotland,Male,65 to 69,15,9.7,56
2013 to 2015,Scotland,Male,70 to 74,16,7.2,52
2013 to 2015,Scotland,Male,75 to 79,17,5.2,49
2013 to 2015,Scotland,Male,80 to 84,18,3.5,45
2013 to 2015,Scotland,Male,85 to 89,19,2.3,41
2013 to 2015,Scotland,Male,90+,20,1.5,38
2013 to 2015,Scotland,Female,<1,1,63,78
2013 to 2015,Scotland,Female,01 to 04,2,62.3,77
2013 to 2015,Scotland,Female,05 to 09,3,58.6,77
2013 to 2015,Scotland,Female,10 to 14,4,53.9,75
2013 to 2015,Scotland,Female,15 to 19,5,49.3,74
2013 to 2015,Scotland,Female,20 to 24,6,44.8,73
2013 to 2015,Scotland,Female,25 to 29,7,40.4,71
2013 to 2015,Scotland,Female,30 to 34,8,36.1,70
2013 to 2015,Scotland,Female,35 to 39,9,31.9,68
2013 to 2015,Scotland,Female,40 to 44,10,27.9,66
2013 to 2015,Scotland,Female,45 to 49,11,24,64
2013 to 2015,Scotland,Female,50 to 54,12,20.4,62
2013 to 2015,Scotland,Female,55 to 59,13,16.9,60
2013 to 2015,Scotland,Female,60 to 64,14,13.7,58
2013 to 2015,Scotland,Female,65 to 69,15,10.8,55
2013 to 2015,Scotland,Female,70 to 74,16,8.2,52
2013 to 2015,Scotland,Female,75 to 79,17,5.9,49
2013 to 2015,Scotland,Female,80 to 84,18,4.1,45
2013 to 2015,Scotland,Female,85 to 89,19,2.6,41
2013 to 2015,Scotland,Female,90+,20,1.6,37
2014 to 2016,Scotland,Male,<1,1,62.2,81
2014 to 2016,Scotland,Male,01 to 04,2,61.4,80
2014 to 2016,Scotland,Male,05 to 09,3,57.7,80
2014 to 2016,Scotland,Male,10 to 14,4,53,79
2014 to 2016,Scotland,Male,15 to 19,5,48.3,77
2014 to 2016,Scotland,Male,20 to 24,6,43.8,76
2014 to 2016,Scotland,Male,25 to 29,7,39.3,75
2014 to 2016,Scotland,Male,30 to 34,8,35,73
2014 to 2016,Scotland,Male,35 to 39,9,30.8,71
2014 to 2016,Scotland,Male,40 to 44,10,26.8,69
2014 to 2016,Scotland,Male,45 to 49,11,23,67
2014 to 2016,Scotland,Male,50 to 54,12,19.3,65
2014 to 2016,Scotland,Male,55 to 59,13,15.9,62
2014 to 2016,Scotland,Male,60 to 64,14,12.7,60
2014 to 2016,Scotland,Male,65 to 69,15,9.9,57
2014 to 2016,Scotland,Male,70 to 74,16,7.5,54
2014 to 2016,Scotland,Male,75 to 79,17,5.4,50
2014 to 2016,Scotland,Male,80 to 84,18,3.7,47
2014 to 2016,Scotland,Male,85 to 89,19,2.4,43
2014 to 2016,Scotland,Male,90+,20,1.6,39
2014 to 2016,Scotland,Female,<1,1,63.3,78
2014 to 2016,Scotland,Female,01 to 04,2,62.6,78
2014 to 2016,Scotland,Female,05 to 09,3,58.9,77
2014 to 2016,Scotland,Female,10 to 14,4,54.2,76
2014 to 2016,Scotland,Female,15 to 19,5,49.6,75
2014 to 2016,Scotland,Female,20 to 24,6,45.1,73
2014 to 2016,Scotland,Female,25 to 29,7,40.8,72
2014 to 2016,Scotland,Female,30 to 34,8,36.4,70
2014 to 2016,Scotland,Female,35 to 39,9,32.3,69
2014 to 2016,Scotland,Female,40 to 44,10,28.2,67
2014 to 2016,Scotland,Female,45 to 49,11,24.4,65
2014 to 2016,Scotland,Female,50 to 54,12,20.7,63
2014 to 2016,Scotland,Female,55 to 59,13,17.2,61
2014 to 2016,Scotland,Female,60 to 64,14,14,59
2014 to 2016,Scotland,Female,65 to 69,15,11.1,56
2014 to 2016,Scotland,Female,70 to 74,16,8.4,53
2014 to 2016,Scotland,Female,75 to 79,17,6.1,50
2014 to 2016,Scotland,Female,80 to 84,18,4.2,46
2014 to 2016,Scotland,Female,85 to 89,19,2.7,42
2014 to 2016,Scotland,Female,90+,20,1.7,39
2015 to 2017,Scotland,Male,<1,1,62.2,81
2015 to 2017,Scotland,Male,01 to 04,2,61.4,80
2015 to 2017,Scotland,Male,05 to 09,3,57.6,80
2015 to 2017,Scotland,Male,10 to 14,4,52.9,79
2015 to 2017,Scotland,Male,15 to 19,5,48.2,77
2015 to 2017,Scotland,Male,20 to 24,6,43.7,76
2015 to 2017,Scotland,Male,25 to 29,7,39.2,74
2015 to 2017,Scotland,Male,30 to 34,8,34.9,73
2015 to 2017,Scotland,Male,35 to 39,9,30.7,71
2015 to 2017,Scotland,Male,40 to 44,10,26.7,69
2015 to 2017,Scotland,Male,45 to 49,11,22.9,67
2015 to 2017,Scotland,Male,50 to 54,12,19.3,65
2015 to 2017,Scotland,Male,55 to 59,13,15.8,62
2015 to 2017,Scotland,Male,60 to 64,14,12.7,59
2015 to 2017,Scotland,Male,65 to 69,15,9.9,57
2015 to 2017,Scotland,Male,70 to 74,16,7.4,54
2015 to 2017,Scotland,Male,75 to 79,17,5.3,50
2015 to 2017,Scotland,Male,80 to 84,18,3.6,46
2015 to 2017,Scotland,Male,85 to 89,19,2.4,42
2015 to 2017,Scotland,Male,90+,20,1.5,38
2015 to 2017,Scotland,Female,<1,1,62.8,78
2015 to 2017,Scotland,Female,01 to 04,2,62.1,77
2015 to 2017,Scotland,Female,05 to 09,3,58.4,77
2015 to 2017,Scotland,Female,10 to 14,4,53.8,75
2015 to 2017,Scotland,Female,15 to 19,5,49.3,74
2015 to 2017,Scotland,Female,20 to 24,6,44.8,73
2015 to 2017,Scotland,Female,25 to 29,7,40.5,72
2015 to 2017,Scotland,Female,30 to 34,8,36.2,70
2015 to 2017,Scotland,Female,35 to 39,9,32.1,69
2015 to 2017,Scotland,Female,40 to 44,10,28.1,67
2015 to 2017,Scotland,Female,45 to 49,11,24.3,65
2015 to 2017,Scotland,Female,50 to 54,12,20.7,63
2015 to 2017,Scotland,Female,55 to 59,13,17.2,61
2015 to 2017,Scotland,Female,60 to 64,14,14,59
2015 to 2017,Scotland,Female,65 to 69,15,11.1,56
2015 to 2017,Scotland,Female,70 to 74,16,8.4,54
2015 to 2017,Scotland,Female,75 to 79,17,6.1,50
2015 to 2017,Scotland,Female,80 to 84,18,4.2,47
2015 to 2017,Scotland,Female,85 to 89,19,2.7,43
2015 to 2017,Scotland,Female,90+,20,1.7,39
2016 to 2018,Scotland,Male,<1,1,61.8,80
2016 to 2018,Scotland,Male,01 to 04,2,61,80
2016 to 2018,Scotland,Male,05 to 09,3,57.3,79
2016 to 2018,Scotland,Male,10 to 14,4,52.6,78
2016 to 2018,Scotland,Male,15 to 19,5,47.9,77
2016 to 2018,Scotland,Male,20 to 24,6,43.4,75
2016 to 2018,Scotland,Male,25 to 29,7,39,74
2016 to 2018,Scotland,Male,30 to 34,8,34.7,72
2016 to 2018,Scotland,Male,35 to 39,9,30.6,71
2016 to 2018,Scotland,Male,40 to 44,10,26.6,69
2016 to 2018,Scotland,Male,45 to 49,11,22.8,66
2016 to 2018,Scotland,Male,50 to 54,12,19.2,64
2016 to 2018,Scotland,Male,55 to 59,13,15.8,62
2016 to 2018,Scotland,Male,60 to 64,14,12.7,59
2016 to 2018,Scotland,Male,65 to 69,15,9.9,56
2016 to 2018,Scotland,Male,70 to 74,16,7.5,53
2016 to 2018,Scotland,Male,75 to 79,17,5.3,50
2016 to 2018,Scotland,Male,80 to 84,18,3.7,46
2016 to 2018,Scotland,Male,85 to 89,19,2.4,42
2016 to 2018,Scotland,Male,90+,20,1.5,38
2016 to 2018,Scotland,Female,<1,1,62.4,77
2016 to 2018,Scotland,Female,01 to 04,2,61.6,77
2016 to 2018,Scotland,Female,05 to 09,3,58,76
2016 to 2018,Scotland,Female,10 to 14,4,53.4,75
2016 to 2018,Scotland,Female,15 to 19,5,48.9,74
2016 to 2018,Scotland,Female,20 to 24,6,44.5,72
2016 to 2018,Scotland,Female,25 to 29,7,40.2,71
2016 to 2018,Scotland,Female,30 to 34,8,36,70
2016 to 2018,Scotland,Female,35 to 39,9,31.9,68
2016 to 2018,Scotland,Female,40 to 44,10,28,66
2016 to 2018,Scotland,Female,45 to 49,11,24.2,65
2016 to 2018,Scotland,Female,50 to 54,12,20.6,63
2016 to 2018,Scotland,Female,55 to 59,13,17.2,61
2016 to 2018,Scotland,Female,60 to 64,14,14,59
2016 to 2018,Scotland,Female,65 to 69,15,11.1,56
2016 to 2018,Scotland,Female,70 to 74,16,8.4,53
2016 to 2018,Scotland,Female,75 to 79,17,6.1,50
2016 to 2018,Scotland,Female,80 to 84,18,4.2,46
2016 to 2018,Scotland,Female,85 to 89,19,2.7,42
2016 to 2018,Scotland,Female,90+,20,1.7,39
2017 to 2019,Scotland,Male,<1,1,61.5,80
2017 to 2019,Scotland,Male,01 to 04,2,60.7,79
2017 to 2019,Scotland,Male,05 to 09,3,57,79
2017 to 2019,Scotland,Male,10 to 14,4,52.3,77
2017 to 2019,Scotland,Male,15 to 19,5,47.7,76
2017 to 2019,Scotland,Male,20 to 24,6,43.2,75
2017 to 2019,Scotland,Male,25 to 29,7,38.8,73
2017 to 2019,Scotland,Male,30 to 34,8,34.6,72
2017 to 2019,Scotland,Male,35 to 39,9,30.5,70
2017 to 2019,Scotland,Male,40 to 44,10,26.6,68
2017 to 2019,Scotland,Male,45 to 49,11,22.8,66
2017 to 2019,Scotland,Male,50 to 54,12,19.3,64
2017 to 2019,Scotland,Male,55 to 59,13,15.9,62
2017 to 2019,Scotland,Male,60 to 64,14,12.8,59
2017 to 2019,Scotland,Male,65 to 69,15,10,56
2017 to 2019,Scotland,Male,70 to 74,16,7.5,54
2017 to 2019,Scotland,Male,75 to 79,17,5.4,50
2017 to 2019,Scotland,Male,80 to 84,18,3.7,46
2017 to 2019,Scotland,Male,85 to 89,19,2.4,42
2017 to 2019,Scotland,Male,90+,20,1.6,38
2017 to 2019,Scotland,Female,<1,1,62.2,77
2017 to 2019,Scotland,Female,01 to 04,2,61.5,76
2017 to 2019,Scotland,Female,05 to 09,3,57.8,76
2017 to 2019,Scotland,Female,10 to 14,4,53.1,74
2017 to 2019,Scotland,Female,15 to 19,5,48.6,73
2017 to 2019,Scotland,Female,20 to 24,6,44.2,72
2017 to 2019,Scotland,Female,25 to 29,7,39.9,70
2017 to 2019,Scotland,Female,30 to 34,8,35.6,69
2017 to 2019,Scotland,Female,35 to 39,9,31.5,67
2017 to 2019,Scotland,Female,40 to 44,10,27.6,66
2017 to 2019,Scotland,Female,45 to 49,11,23.9,64
2017 to 2019,Scotland,Female,50 to 54,12,20.3,62
2017 to 2019,Scotland,Female,55 to 59,13,16.9,60
2017 to 2019,Scotland,Female,60 to 64,14,13.8,57
2017 to 2019,Scotland,Female,65 to 69,15,10.9,55
2017 to 2019,Scotland,Female,70 to 74,16,8.2,52
2017 to 2019,Scotland,Female,75 to 79,17,5.9,48
2017 to 2019,Scotland,Female,80 to 84,18,4,44
2017 to 2019,Scotland,Female,85 to 89,19,2.6,40
2017 to 2019,Scotland,Female,90+,20,1.6,37
2018 to 2020,Scotland,Male,<1,1,61.1,80
2018 to 2020,Scotland,Male,01 to 04,2,60.4,79
2018 to 2020,Scotland,Male,05 to 09,3,56.7,79
2018 to 2020,Scotland,Male,10 to 14,4,52,77
2018 to 2020,Scotland,Male,15 to 19,5,47.4,76
2018 to 2020,Scotland,Male,20 to 24,6,42.9,75
2018 to 2020,Scotland,Male,25 to 29,7,38.6,73
2018 to 2020,Scotland,Male,30 to 34,8,34.3,72
2018 to 2020,Scotland,Male,35 to 39,9,30.3,70
2018 to 2020,Scotland,Male,40 to 44,10,26.3,68
2018 to 2020,Scotland,Male,45 to 49,11,22.6,66
2018 to 2020,Scotland,Male,50 to 54,12,19.1,64
2018 to 2020,Scotland,Male,55 to 59,13,15.8,62
2018 to 2020,Scotland,Male,60 to 64,14,12.7,59
2018 to 2020,Scotland,Male,65 to 69,15,9.9,56
2018 to 2020,Scotland,Male,70 to 74,16,7.5,53
2018 to 2020,Scotland,Male,75 to 79,17,5.3,50
2018 to 2020,Scotland,Male,80 to 84,18,3.7,46
2018 to 2020,Scotland,Male,85 to 89,19,2.4,42
2018 to 2020,Scotland,Male,90+,20,1.5,38
2018 to 2020,Scotland,Female,<1,1,62.2,77
2018 to 2020,Scotland,Female,01 to 04,2,61.4,77
2018 to 2020,Scotland,Female,05 to 09,3,57.8,76
2018 to 2020,Scotland,Female,10 to 14,4,53.2,75
2018 to 2020,Scotland,Female,15 to 19,5,48.6,73
2018 to 2020,Scotland,Female,20 to 24,6,44.2,72
2018 to 2020,Scotland,Female,25 to 29,7,40,71
2018 to 2020,Scotland,Female,30 to 34,8,35.8,69
2018 to 2020,Scotland,Female,35 to 39,9,31.7,68
2018 to 2020,Scotland,Female,40 to 44,10,27.8,66
2018 to 2020,Scotland,Female,45 to 49,11,24.1,65
2018 to 2020,Scotland,Female,50 to 54,12,20.5,63
2018 to 2020,Scotland,Female,55 to 59,13,17.1,61
2018 to 2020,Scotland,Female,60 to 64,14,14,59
2018 to 2020,Scotland,Female,65 to 69,15,11.1,56
2018 to 2020,Scotland,Female,70 to 74,16,8.4,53
2018 to 2020,Scotland,Female,75 to 79,17,6,50
2018 to 2020,Scotland,Female,80 to 84,18,4.1,46
2018 to 2020,Scotland,Female,85 to 89,19,2.6,42
2018 to 2020,Scotland,Female,90+,20,1.6,38
2019 to 2021,Scotland,Male,<1,1,60.5,79
2019 to 2021,Scotland,Male,01 to 04,2,59.8,79
2019 to 2021,Scotland,Male,05 to 09,3,56.1,78
2019 to 2021,Scotland,Male,10 to 14,4,51.4,77
2019 to 2021,Scotland,Male,15 to 19,5,46.9,76
2019 to 2021,Scotland,Male,20 to 24,6,42.4,74
2019 to 2021,Scotland,Male,25 to 29,7,38.1,73
2019 to 2021,Scotland,Male,30 to 34,8,33.9,71
2019 to 2021,Scotland,Male,35 to 39,9,29.9,70
2019 to 2021,Scotland,Male,40 to 44,10,26,68
2019 to 2021,Scotland,Male,45 to 49,11,22.3,66
2019 to 2021,Scotland,Male,50 to 54,12,18.9,64
2019 to 2021,Scotland,Male,55 to 59,13,15.6,61
2019 to 2021,Scotland,Male,60 to 64,14,12.5,59
2019 to 2021,Scotland,Male,65 to 69,15,9.8,56
2019 to 2021,Scotland,Male,70 to 74,16,7.4,53
2019 to 2021,Scotland,Male,75 to 79,17,5.3,50
2019 to 2021,Scotland,Male,80 to 84,18,3.6,46
2019 to 2021,Scotland,Male,85 to 89,19,2.4,42
2019 to 2021,Scotland,Male,90+,20,1.5,38
2019 to 2021,Scotland,Female,<1,1,61.5,76
2019 to 2021,Scotland,Female,01 to 04,2,60.8,76
2019 to 2021,Scotland,Female,05 to 09,3,57.2,75
2019 to 2021,Scotland,Female,10 to 14,4,52.6,74
2019 to 2021,Scotland,Female,15 to 19,5,48.2,73
2019 to 2021,Scotland,Female,20 to 24,6,43.9,72
2019 to 2021,Scotland,Female,25 to 29,7,39.7,71
2019 to 2021,Scotland,Female,30 to 34,8,35.6,69
2019 to 2021,Scotland,Female,35 to 39,9,31.6,68
2019 to 2021,Scotland,Female,40 to 44,10,27.8,66
2019 to 2021,Scotland,Female,45 to 49,11,24.1,65
2019 to 2021,Scotland,Female,50 to 54,12,20.6,63
2019 to 2021,Scotland,Female,55 to 59,13,17.2,61
2019 to 2021,Scotland,Female,60 to 64,14,14.1,59
2019 to 2021,Scotland,Female,65 to 69,15,11.2,57
2019 to 2021,Scotland,Female,70 to 74,16,8.6,54
2019 to 2021,Scotland,Female,75 to 79,17,6.1,51
2019 to 2021,Scotland,Female,80 to 84,18,4.1,46
2019 to 2021,Scotland,Female,85 to 89,19,2.7,42
2019 to 2021,Scotland,Female,90+,20,1.7,40
2020 to 2022,Scotland,Male,<1,1,60.1,79
2020 to 2022,Scotland,Male,01 to 04,2,59.4,78
2020 to 2022,Scotland,Male,05 to 09,3,55.6,77
2020 to 2022,Scotland,Male,10 to 14,4,51,76
2020 to 2022,Scotland,Male,15 to 19,5,46.4,75
2020 to 2022,Scotland,Male,20 to 24,6,41.9,74
2020 to 2022,Scotland,Male,25 to 29,7,37.6,72
2020 to 2022,Scotland,Male,30 to 34,8,33.4,70
2020 to 2022,Scotland,Male,35 to 39,9,29.4,69
2020 to 2022,Scotland,Male,40 to 44,10,25.5,67
2020 to 2022,Scotland,Male,45 to 49,11,21.8,65
2020 to 2022,Scotland,Male,50 to 54,12,18.4,62
2020 to 2022,Scotland,Male,55 to 59,13,15.2,60
2020 to 2022,Scotland,Male,60 to 64,14,12.2,57
2020 to 2022,Scotland,Male,65 to 69,15,9.5,55
2020 to 2022,Scotland,Male,70 to 74,16,7.1,52
2020 to 2022,Scotland,Male,75 to 79,17,5.1,48
2020 to 2022,Scotland,Male,80 to 84,18,3.4,44
2020 to 2022,Scotland,Male,85 to 89,19,2.2,40
2020 to 2022,Scotland,Male,90+,20,1.4,35
2020 to 2022,Scotland,Female,<1,1,60.5,75
2020 to 2022,Scotland,Female,01 to 04,2,59.8,75
2020 to 2022,Scotland,Female,05 to 09,3,56.2,74
2020 to 2022,Scotland,Female,10 to 14,4,51.7,73
2020 to 2022,Scotland,Female,15 to 19,5,47.2,72
2020 to 2022,Scotland,Female,20 to 24,6,43,70
2020 to 2022,Scotland,Female,25 to 29,7,38.8,69
2020 to 2022,Scotland,Female,30 to 34,8,34.8,68
2020 to 2022,Scotland,Female,35 to 39,9,30.9,66
2020 to 2022,Scotland,Female,40 to 44,10,27.1,65
2020 to 2022,Scotland,Female,45 to 49,11,23.4,63
2020 to 2022,Scotland,Female,50 to 54,12,20,61
2020 to 2022,Scotland,Female,55 to 59,13,16.7,60
2020 to 2022,Scotland,Female,60 to 64,14,13.7,58
2020 to 2022,Scotland,Female,65 to 69,15,10.9,56
2020 to 2022,Scotland,Female,70 to 74,16,8.3,53
2020 to 2022,Scotland,Female,75 to 79,17,5.9,49
2020 to 2022,Scotland,Female,80 to 84,18,4,45
2020 to 2022,Scotland,Female,85 to 89,19,2.5,41
2020 to 2022,Scotland,Female,90+,20,1.6,37
2021 to 2023,Scotland,Male,<1,1,59.6,78
2021 to 2023,Scotland,Male,01 to 04,2,58.9,77
2021 to 2023,Scotland,Male,05 to 09,3,55.2,77
2021 to 2023,Scotland,Male,10 to 14,4,50.7,75
2021 to 2023,Scotland,Male,15 to 19,5,46.1,74
2021 to 2023,Scotland,Male,20 to 24,6,41.7,73
2021 to 2023,Scotland,Male,25 to 29,7,37.5,71
2021 to 2023,Scotland,Male,30 to 34,8,33.3,70
2021 to 2023,Scotland,Male,35 to 39,9,29.3,68
2021 to 2023,Scotland,Male,40 to 44,10,25.5,66
2021 to 2023,Scotland,Male,45 to 49,11,21.9,64
2021 to 2023,Scotland,Male,50 to 54,12,18.5,62
2021 to 2023,Scotland,Male,55 to 59,13,15.3,60
2021 to 2023,Scotland,Male,60 to 64,14,12.3,57
2021 to 2023,Scotland,Male,65 to 69,15,9.6,55
2021 to 2023,Scotland,Male,70 to 74,16,7.3,52
2021 to 2023,Scotland,Male,75 to 79,17,5.2,49
2021 to 2023,Scotland,Male,80 to 84,18,3.6,45
2021 to 2023,Scotland,Male,85 to 89,19,2.3,41
2021 to 2023,Scotland,Male,90+,20,1.5,36
2021 to 2023,Scotland,Female,<1,1,60,74
2021 to 2023,Scotland,Female,01 to 04,2,59.3,74
2021 to 2023,Scotland,Female,05 to 09,3,55.7,73
2021 to 2023,Scotland,Female,10 to 14,4,51.2,72
2021 to 2023,Scotland,Female,15 to 19,5,46.8,71
2021 to 2023,Scotland,Female,20 to 24,6,42.5,70
2021 to 2023,Scotland,Female,25 to 29,7,38.4,68
2021 to 2023,Scotland,Female,30 to 34,8,34.4,67
2021 to 2023,Scotland,Female,35 to 39,9,30.5,66
2021 to 2023,Scotland,Female,40 to 44,10,26.7,64
2021 to 2023,Scotland,Female,45 to 49,11,23.1,62
2021 to 2023,Scotland,Female,50 to 54,12,19.7,60
2021 to 2023,Scotland,Female,55 to 59,13,16.5,59
2021 to 2023,Scotland,Female,60 to 64,14,13.5,57
2021 to 2023,Scotland,Female,65 to 69,15,10.7,54
2021 to 2023,Scotland,Female,70 to 74,16,8.2,52
2021 to 2023,Scotland,Female,75 to 79,17,5.8,48
2021 to 2023,Scotland,Female,80 to 84,18,3.9,44
2021 to 2023,Scotland,Female,85 to 89,19,2.5,39
2021 to 2023,Scotland,Female,90+,20,1.5,36
2022 to 2024,Scotland,Male,<1,1,59.1,77
2022 to 2024,Scotland,Male,01 to 04,2,58.4,76
2022 to 2024,Scotland,Male,05 to 09,3,54.8,76
2022 to 2024,Scotland,Male,10 to 14,4,50.2,74
2022 to 2024,Scotland,Male,15 to 19,5,45.7,73
2022 to 2024,Scotland,Male,20 to 24,6,41.4,72
2022 to 2024,Scotland,Male,25 to 29,7,37.1,70
2022 to 2024,Scotland,Male,30 to 34,8,33,69
2022 to 2024,Scotland,Male,35 to 39,9,29.1,67
2022 to 2024,Scotland,Male,40 to 44,10,25.2,65
2022 to 2024,Scotland,Male,45 to 49,11,21.6,63
2022 to 2024,Scotland,Male,50 to 54,12,18.3,61
2022 to 2024,Scotland,Male,55 to 59,13,15.1,59
2022 to 2024,Scotland,Male,60 to 64,14,12.2,56
2022 to 2024,Scotland,Male,65 to 69,15,9.5,54
2022 to 2024,Scotland,Male,70 to 74,16,7.2,51
2022 to 2024,Scotland,Male,75 to 79,17,5.2,48
