period,country,sex,age,agecode,hle,prop
2015 to 2017,England,Male,<1,1,63.3,80
2015 to 2017,England,Male,01 to 04,2,62.7,79
2015 to 2017,England,Male,05 to 09,3,58.9,79
2015 to 2017,England,Male,10 to 14,4,54.2,78
2015 to 2017,England,Male,15 to 19,5,49.6,76
2015 to 2017,England,Male,20 to 24,6,45,75
2015 to 2017,England,Male,25 to 29,7,40.5,73
2015 to 2017,England,Male,30 to 34,8,36.1,72
2015 to 2017,England,Male,35 to 39,9,31.9,70
2015 to 2017,England,Male,40 to 44,10,27.7,68
2015 to 2017,England,Male,45 to 49,11,23.8,66
2015 to 2017,England,Male,50 to 54,12,20,64
2015 to 2017,England,Male,55 to 59,13,16.5,61
2015 to 2017,England,Male,60 to 64,14,13.3,58
2015 to 2017,England,Male,65 to 69,15,10.4,55
2015 to 2017,England,Male,70 to 74,16,7.8,52
2015 to 2017,England,Male,75 to 79,17,5.5,48
2015 to 2017,England,Male,80 to 84,18,3.7,44
2015 to 2017,England,Male,85 to 89,19,2.4,40
2015 to 2017,England,Male,90+,20,1.4,35
2015 to 2017,England,Female,<1,1,64,77
2015 to 2017,England,Female,01 to 04,2,63.3,77
2015 to 2017,England,Female,05 to 09,3,59.6,76
2015 to 2017,England,Female,10 to 14,4,54.9,75
2015 to 2017,England,Female,15 to 19,5,50.3,73
2015 to 2017,England,Female,20 to 24,6,45.8,72
2015 to 2017,England,Female,25 to 29,7,41.4,71
2015 to 2017,England,Female,30 to 34,8,37.1,69
2015 to 2017,England,Female,35 to 39,9,32.9,67
2015 to 2017,England,Female,40 to 44,10,28.8,65
2015 to 2017,England,Female,45 to 49,11,24.8,63
2015 to 2017,England,Female,50 to 54,12,21.1,61
2015 to 2017,England,Female,55 to 59,13,17.6,59
2015 to 2017,England,Female,60 to 64,14,14.3,56
2015 to 2017,England,Female,65 to 69,15,11.3,54
2015 to 2017,England,Female,70 to 74,16,8.5,50
2015 to 2017,England,Female,75 to 79,17,6.1,47
2015 to 2017,England,Female,80 to 84,18,4.1,42
2015 to 2017,England,Female,85 to 89,19,2.6,38
2015 to 2017,England,Female,90+,20,1.6,34
2016 to 2018,England,Male,<1,1,63.3,80
2016 to 2018,England,Male,01 to 04,2,62.6,79
2016 to 2018,England,Male,05 to 09,3,58.9,79
2016 to 2018,England,Male,10 to 14,4,54.2,78
2016 to 2018,England,Male,15 to 19,5,49.6,76
2016 to 2018,England,Male,20 to 24,6,45,75
2016 to 2018,England,Male,25 to 29,7,40.6,73
2016 to 2018,England,Male,30 to 34,8,36.2,72
2016 to 2018,England,Male,35 to 39,9,31.9,70
2016 to 2018,England,Male,40 to 44,10,27.8,68
2016 to 2018,England,Male,45 to 49,11,23.9,66
2016 to 2018,England,Male,50 to 54,12,20.1,64
2016 to 2018,England,Male,55 to 59,13,16.6,61
2016 to 2018,England,Male,60 to 64,14,13.4,59
2016 to 2018,England,Male,65 to 69,15,10.5,56
2016 to 2018,England,Male,70 to 74,16,7.9,53
2016 to 2018,England,Male,75 to 79,17,5.6,49
2016 to 2018,England,Male,80 to 84,18,3.8,45
2016 to 2018,England,Male,85 to 89,19,2.4,40
2016 to 2018,England,Male,90+,20,1.5,35
2016 to 2018,England,Female,<1,1,64.1,77
2016 to 2018,England,Female,01 to 04,2,63.4,77
2016 to 2018,England,Female,05 to 09,3,59.7,76
2016 to 2018,England,Female,10 to 14,4,55.1,75
2016 to 2018,England,Female,15 to 19,5,50.5,74
2016 to 2018,England,Female,20 to 24,6,46,72
2016 to 2018,England,Female,25 to 29,7,41.6,71
2016 to 2018,England,Female,30 to 34,8,37.3,69
2016 to 2018,England,Female,35 to 39,9,33,68
2016 to 2018,England,Female,40 to 44,10,28.9,66
